feature_id,bec_zone,bec_subzone,planted_species1,planted_species2,planted_species3,planted_species4,planted_species5,planted_density1,planted_density2,planted_density3,planted_density4,planted_density5,genetic_worth1,genetic_worth2,genetic_worth3,genetic_worth4,genetic_worth5,planting_delay,planted_percent,natural_species1,natural_species2,natural_species3,natural_species4,natural_species5,natural_density1,natural_density2,natural_density3,natural_density4,natural_density5,oaf1,oaf2,opening_id,vri_ref_age,vri_ref_sph,at_si,ba_si,bg_si,bl_si,cw_si,dr_si,ep_si,fd_si,hm_si,hw_si,lt_si,lw_si,pa_si,pl_si,pw_si,py_si,sb_si,se_si,ss_si,sw_si,sx_si,yc_si
21000,SBPS,,Pl,Fd,Sw,,,971,10,20,,,3.0,,,,,4,30,Pl,At,Fd,Sw,,871,100,10,20,,0.74,0.95,21000,0,0,7.5,0,0,0.0,0.0,0,0,9.5,0,0.0,0,0,0,9.5,0,0,0,0.0,0,9.5,0,0
22000,SBPS,,Pl,Fd,Sw,,,971,10,20,,,3.0,,,,,4,30,Pl,At,Fd,Sw,,871,100,10,20,,0.73,0.95,22000,0,0,9.1,0,0,0.0,0.0,0,0,11.1,0,0.0,0,0,0,11.1,0,0,0,0.0,0,11.1,0,0
23000,SBS,,Pli,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.85,0.95,23000,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,11.0,0,0,0,0.0,0,0.0,0,0
21001,MS,,Pl,Sw,Fd,Bl,,895,113,91,34,,3.0,,,,,2,85,Pl,At,Sw,Fd,Bl,702,193,113,91,34,0.69,0.95,21001,0,0,8.7,0,0,10.7,0.0,0,0,10.7,0,0.0,0,0,0,10.7,0,0,0,0.0,0,10.7,0,0
22001,MS,,Pl,Sw,Fd,Bl,,895,113,91,34,,3.0,,,,,2,85,Pl,At,Sw,Fd,Bl,702,193,113,91,34,0.75,0.95,22001,0,0,9.6,0,0,11.6,0.0,0,0,11.6,0,0.0,0,0,0,11.6,0,0,0,0.0,0,11.6,0,0
23001,MS,,Pl,Sw,Fd,Bl,,895,113,91,34,,3.0,,,,,2,85,Pl,At,Sw,Fd,Bl,702,193,113,91,34,0.66,0.95,23001,0,0,10.1,0,0,12.1,0.0,0,0,12.1,0,0.0,0,0,0,12.1,0,0,0,0.0,0,12.1,0,0
21002,IDF,,Pli,Fd,Sw,Bl,,467,467,171,34,,9.0,,,,,2,90,Pl,Fd,At,Sw,Bl,467,273,194,171,34,0.6,0.95,21002,0,0,10.7,0,0,12.7,0.0,0,0,12.7,0,0.0,0,0,0,12.7,0,0,0,0.0,0,12.7,0,0
22002,IDF,,Pli,Fd,Sw,Bl,,467,467,171,34,,9.0,,,,,2,90,Pl,Fd,At,Sw,Bl,467,273,194,171,34,0.62,0.95,22002,0,0,12.9,0,0,14.9,0.0,0,0,14.9,0,0.0,0,0,0,14.9,0,0,0,0.0,0,14.9,0,0
23002,IDF,,Pli,Fd,Sw,Bl,,467,467,171,34,,9.0,,,,,2,90,Pl,Fd,At,Sw,Bl,467,273,194,171,34,0.7,0.95,23002,0,0,15.0,0,0,17.0,0.0,0,0,17.0,0,0.0,0,0,0,17.0,0,0,0,0.0,0,17.0,0,0
21003,IDF,,Pli,Fd,Sw,Bl,,467,467,171,34,,9.0,,,,,2,90,Pl,Fd,At,Sw,Bl,467,273,194,171,34,0.68,0.95,21003,0,0,10.6,0,0,12.6,0.0,0,0,12.6,0,0.0,0,0,0,12.6,0,0,0,0.0,0,12.6,0,0
22003,IDF,,Pli,Fd,Sw,Bl,,467,467,171,34,,9.0,,,,,2,90,Pl,Fd,At,Sw,Bl,467,273,194,171,34,0.74,0.95,22003,0,0,12.7,0,0,14.7,0.0,0,0,14.7,0,0.0,0,0,0,14.7,0,0,0,0.0,0,14.7,0,0
23003,IDF,,Pli,Fd,Sw,Bl,,467,467,171,34,,9.0,,,,,2,90,Pl,Fd,At,Sw,Bl,467,273,194,171,34,0.75,0.95,23003,0,0,14.9,0,0,16.9,0.0,0,0,16.9,0,0.0,0,0,0,16.9,0,0,0,0.0,0,16.9,0,0
21004,MS,,Sw,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.56,0.95,21004,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,9.4,0,0
22004,MS,,Pl,Sw,Fd,Bl,,895,113,91,34,,3.0,,,,,2,85,Pl,At,Sw,Fd,Bl,702,193,113,91,34,0.59,0.95,22004,0,0,8.8,0,0,10.8,0.0,0,0,10.8,0,0.0,0,0,0,10.8,0,0,0,0.0,0,10.8,0,0
23004,MS,,Pl,Sw,Fd,Bl,,895,113,91,34,,3.0,,,,,2,85,Pl,At,Sw,Fd,Bl,702,193,113,91,34,0.69,0.95,23004,0,0,11.6,0,0,13.6,0.0,0,0,13.6,0,0.0,0,0,0,13.6,0,0,0,0.0,0,13.6,0,0
21005,SBPS,,Pl,Fd,Sw,,,971,10,20,,,3.0,,,,,4,30,Pl,At,Fd,Sw,,871,100,10,20,,0.78,0.95,21005,0,0,8.8,0,0,0.0,0.0,0,0,10.8,0,0.0,0,0,0,10.8,0,0,0,0.0,0,10.8,0,0
22005,SBPS,,Pl,Fd,Sw,,,971,10,20,,,3.0,,,,,4,30,Pl,At,Fd,Sw,,871,100,10,20,,0.77,0.95,22005,0,0,10.7,0,0,0.0,0.0,0,0,12.7,0,0.0,0,0,0,12.7,0,0,0,0.0,0,12.7,0,0
23005,SBS,,Pl,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.74,0.95,23005,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,15.8,0,0,0,0.0,0,0.0,0,0
21006,ESSF,,Bl,Se,Sw,Fd,,669,375,106,23,,6.6,,,,,2,100,,,,,,,,,,,0.57,0.95,21006,0,0,0.0,0,0,8.2,0.0,0,0,8.2,0,0.0,0,0,0,0.0,0,0,0,8.2,0,8.2,0,0
22006,ESSF,,Bl,Se,Sw,Fd,,669,375,106,23,,6.6,,,,,2,100,,,,,,,,,,,0.61,0.95,22006,0,0,0.0,0,0,10.3,0.0,0,0,10.3,0,0.0,0,0,0,0.0,0,0,0,10.3,0,10.3,0,0
23006,ESSF,,Bl,Se,Sw,Fd,,669,375,106,23,,6.6,,,,,2,100,,,,,,,,,,,0.71,0.95,23006,0,0,0.0,0,0,13.2,0.0,0,0,13.2,0,0.0,0,0,0,0.0,0,0,0,13.2,0,13.2,0,0
21007,ESSF,,Pl,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.62,0.95,21007,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,9.9,0,0,0,0.0,0,0.0,0,0
22007,ESSF,,Pl,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.73,0.95,22007,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,12.1,0,0,0,0.0,0,0.0,0,0
23007,ESSF,,Pl,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.75,0.95,23007,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,14.6,0,0,0,0.0,0,0.0,0,0
21008,IDF,,Pl,Sw,Fd,Bl,,895,113,91,34,,3.0,,,,,2,85,Pl,At,Sw,Fd,Bl,702,193,113,91,34,0.62,0.95,21008,0,0,9.8,0,0,11.8,0.0,0,0,11.8,0,0.0,0,0,0,11.8,0,0,0,0.0,0,11.8,0,0
22008,IDF,,Pl,Sw,Fd,Bl,,895,113,91,34,,3.0,,,,,2,85,Pl,At,Sw,Fd,Bl,702,193,113,91,34,0.77,0.95,22008,0,0,11.5,0,0,13.5,0.0,0,0,13.5,0,0.0,0,0,0,13.5,0,0,0,0.0,0,13.5,0,0
23008,IDF,,Pl,Sw,Fd,Bl,,895,113,91,34,,3.0,,,,,2,85,Pl,At,Sw,Fd,Bl,702,193,113,91,34,0.75,0.95,23008,0,0,14.2,0,0,16.2,0.0,0,0,16.2,0,0.0,0,0,0,16.2,0,0,0,0.0,0,16.2,0,0
21009,ESSF,,Se,Pl,Bl,Fd,,728,351,100,75,,12.8,,,,,2,100,,,,,,,,,,,0.85,0.95,21009,0,0,0.0,0,0,17.3,0.0,0,0,17.3,0,0.0,0,0,0,17.3,0,0,0,17.3,0,0.0,0,0
22009,ESSF,,Se,Pl,Bl,Fd,,728,351,100,75,,12.8,,,,,2,100,,,,,,,,,,,0.85,0.95,22009,0,0,0.0,0,0,10.8,0.0,0,0,10.8,0,0.0,0,0,0,10.8,0,0,0,10.8,0,0.0,0,0
23009,ESSF,,Se,Pl,Bl,Fd,,728,351,100,75,,12.8,,,,,2,100,,,,,,,,,,,0.85,0.95,23009,0,0,0.0,0,0,9.8,0.0,0,0,9.8,0,0.0,0,0,0,9.8,0,0,0,9.8,0,0.0,0,0
21010,SBPS,,Sw,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.65,0.95,21010,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,9.5,0,0
22010,SBPS,,Sw,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.64,0.95,22010,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,11.6,0,0
23010,SBPS,,Sw,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.85,0.95,23010,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,16.7,0,0
21011,IDF,,Pl,Sw,Fd,Bl,,895,113,91,34,,3.0,,,,,2,85,Pl,At,Sw,Fd,Bl,702,193,113,91,34,0.69,0.95,21011,0,0,9.1,0,0,11.1,0.0,0,0,11.1,0,0.0,0,0,0,11.1,0,0,0,0.0,0,11.1,0,0
22011,IDF,,Pl,Sw,Fd,Bl,,895,113,91,34,,3.0,,,,,2,85,Pl,At,Sw,Fd,Bl,702,193,113,91,34,0.59,0.95,22011,0,0,10.5,0,0,12.5,0.0,0,0,12.5,0,0.0,0,0,0,12.5,0,0,0,0.0,0,12.5,0,0
23011,IDF,,Pl,Sw,Fd,Bl,,895,113,91,34,,3.0,,,,,2,85,Pl,At,Sw,Fd,Bl,702,193,113,91,34,0.69,0.95,23011,0,0,13.9,0,0,15.9,0.0,0,0,15.9,0,0.0,0,0,0,15.9,0,0,0,0.0,0,15.9,0,0
21012,ICH,,Fd,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.77,0.95,21012,0,0,0.0,0,0,0.0,0.0,0,0,16.4,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0
22012,ICH,,Fd,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.82,0.95,22012,0,0,0.0,0,0,0.0,0.0,0,0,19.1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0
23012,ICH,,Fd,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.88,0.95,23012,0,0,0.0,0,0,0.0,0.0,0,0,22.4,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0
21013,SBS,,Fdi,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.78,0.95,21013,0,0,0.0,0,0,0.0,0.0,0,0,17.6,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0
22013,SBS,,Fdi,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.88,0.95,22013,0,0,0.0,0,0,0.0,0.0,0,0,18.4,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0
23013,SBS,,Fd,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.85,0.95,23013,0,0,0.0,0,0,0.0,0.0,0,0,21.2,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0
21014,ESSF,,Pli,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.49,0.95,21014,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,9.5,0,0,0,0.0,0,0.0,0,0
22014,ESSF,,Pli,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,1.0,0.95,22014,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,11.8,0,0,0,0.0,0,0.0,0,0
23014,ESSF,,Pli,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.85,0.95,23014,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,11.8,0,0,0,0.0,0,0.0,0,0
21015,ICH,,Sw,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.68,0.95,21015,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,14.0,0,0
22015,ICH,,Sw,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.77,0.95,22015,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,19.1,0,0
23015,ICH,,Sw,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.84,0.95,23015,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,23.7,0,0
21016,ICH,,Cw,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.85,0.95,21016,0,0,0.0,0,0,0.0,17.3,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0
22016,ICH,,Hw,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.79,0.95,22016,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,14.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0
23016,ICH,,Hw,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.85,0.95,23016,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,18.3,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0
21017,SBS,,Sw,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.89,0.95,21017,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,17.7,0,0
22017,SBS,,Sw,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.85,0.95,22017,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,22.0,0,0
23017,SBS,,Sw,,,,,1400,,,,,,,,,,1,100,,,,,,,,,,,0.78,0.95,23017,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,21.6,0,0
